epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,15.360861778259277
0,0,,,15.360861778259277,
0,0,15.25371265411377,,,
,1,,,,14.7229585647583
1,1,,,14.7229585647583,
1,1,15.20315170288086,,,
,2,,,,14.088488578796387
2,2,,,14.088488578796387,
2,2,14.450268745422363,,,
,3,,,,13.4793701171875
3,3,,,13.4793701171875,
3,3,14.413811683654785,,,
,4,,,,12.921643257141113
4,4,,,12.921643257141113,
4,4,14.356109619140625,,,
,5,,,,12.403496742248535
5,5,,,12.403496742248535,
5,5,13.192938804626465,,,
,6,,,,11.934574127197266
6,6,,,11.934574127197266,
6,6,12.813271522521973,,,
,7,,,,11.5101900100708
7,7,,,11.5101900100708,
7,7,12.876749992370605,,,
,8,,,,11.118334770202637
8,8,,,11.118334770202637,
8,8,12.290759086608887,,,
,9,,,,10.76092529296875
9,9,,,10.76092529296875,
9,9,12.164898872375488,,,
,10,,,,10.439742088317871
10,10,,,10.439742088317871,
10,10,11.398391723632812,,,
,11,,,,10.146106719970703
11,11,,,10.146106719970703,
11,11,11.867409706115723,,,
,12,,,,9.874171257019043
12,12,,,9.874171257019043,
12,12,11.063456535339355,,,
,13,,,,9.62317180633545
13,13,,,9.62317180633545,
13,13,10.839683532714844,,,
,14,,,,9.384178161621094
14,14,,,9.384178161621094,
14,14,10.925253868103027,,,
,15,,,,9.157208442687988
15,15,,,9.157208442687988,
15,15,11.22099781036377,,,
,16,,,,8.942238807678223
16,16,,,8.942238807678223,
16,16,10.75011920928955,,,
,17,,,,8.734454154968262
17,17,,,8.734454154968262,
17,17,9.313677787780762,,,
,18,,,,8.534371376037598
18,18,,,8.534371376037598,
18,18,9.915994644165039,,,
,19,,,,8.342693328857422
19,19,,,8.342693328857422,
19,19,9.967921257019043,,,
,20,,,,8.156805992126465
20,20,,,8.156805992126465,
20,20,9.604658126831055,,,
,21,,,,7.975292205810547
21,21,,,7.975292205810547,
21,21,9.405755043029785,,,
,22,,,,7.799018383026123
22,22,,,7.799018383026123,
22,22,8.409674644470215,,,
,23,,,,7.628065586090088
23,23,,,7.628065586090088,
23,23,8.679842948913574,,,
,24,,,,7.461611270904541
24,24,,,7.461611270904541,
24,24,8.666987419128418,,,
,25,,,,7.298984527587891
25,25,,,7.298984527587891,
25,25,9.430291175842285,,,
,26,,,,7.140005588531494
26,26,,,7.140005588531494,
26,26,8.692089080810547,,,
,27,,,,6.983893871307373
27,27,,,6.983893871307373,
27,27,7.5067572593688965,,,
,28,,,,6.831124782562256
28,28,,,6.831124782562256,
28,28,7.88163423538208,,,
,29,,,,6.682241916656494
29,29,,,6.682241916656494,
29,29,8.067190170288086,,,
,30,,,,6.5369744300842285
30,30,,,6.5369744300842285,
30,30,7.902746200561523,,,
,31,,,,6.3945136070251465
31,31,,,6.3945136070251465,
31,31,7.452088832855225,,,
,32,,,,6.254715442657471
32,32,,,6.254715442657471,
32,32,6.948564052581787,,,
,33,,,,6.119577407836914
33,33,,,6.119577407836914,
33,33,7.34324836730957,,,
,34,,,,5.988624572753906
34,34,,,5.988624572753906,
34,34,7.223371982574463,,,
,35,,,,5.861998081207275
35,35,,,5.861998081207275,
35,35,6.941549301147461,,,
,36,,,,5.739283084869385
36,36,,,5.739283084869385,
36,36,6.982856273651123,,,
,37,,,,5.619838237762451
37,37,,,5.619838237762451,
37,37,6.608743667602539,,,
,38,,,,5.503964900970459
38,38,,,5.503964900970459,
38,38,6.932586669921875,,,
,39,,,,5.3912272453308105
39,39,,,5.3912272453308105,
39,39,7.147801876068115,,,
,40,,,,5.281120777130127
40,40,,,5.281120777130127,
40,40,6.9020538330078125,,,
,41,,,,5.173046112060547
41,41,,,5.173046112060547,
41,41,6.804418087005615,,,
,42,,,,5.068382263183594
42,42,,,5.068382263183594,
42,42,6.154775142669678,,,
,43,,,,4.966592788696289
43,43,,,4.966592788696289,
43,43,5.670713901519775,,,
,44,,,,4.866652488708496
44,44,,,4.866652488708496,
44,44,6.103693008422852,,,
,45,,,,4.7689528465271
45,45,,,4.7689528465271,
45,45,5.855852127075195,,,
,46,,,,4.6741414070129395
46,46,,,4.6741414070129395,
46,46,5.743316650390625,,,
,47,,,,4.5821099281311035
47,47,,,4.5821099281311035,
47,47,5.875030517578125,,,
,48,,,,4.492774486541748
48,48,,,4.492774486541748,
48,48,6.363513946533203,,,
49,49,,6.15789270401001,,
,49,,,,4.405174255371094
49,49,,,4.405174255371094,
49,49,6.15789270401001,,,
,50,,,,4.319666385650635
50,50,,,4.319666385650635,
50,50,5.976832866668701,,,
,51,,,,4.2366156578063965
51,51,,,4.2366156578063965,
51,51,5.698625087738037,,,
,52,,,,4.155547618865967
52,52,,,4.155547618865967,
52,52,4.691803932189941,,,
,53,,,,4.07667350769043
53,53,,,4.07667350769043,
53,53,5.088101863861084,,,
,54,,,,3.9995434284210205
54,54,,,3.9995434284210205,
54,54,5.0221076011657715,,,
,55,,,,3.9243249893188477
55,55,,,3.9243249893188477,
55,55,4.783689498901367,,,
,56,,,,3.85046124458313
56,56,,,3.85046124458313,
56,56,5.082472324371338,,,
,57,,,,3.778785467147827
57,57,,,3.778785467147827,
57,57,4.789144039154053,,,
,58,,,,3.7089335918426514
58,58,,,3.7089335918426514,
58,58,4.502231121063232,,,
,59,,,,3.6409425735473633
59,59,,,3.6409425735473633,
59,59,3.9832346439361572,,,
,60,,,,3.5743520259857178
60,60,,,3.5743520259857178,
60,60,4.017940044403076,,,
,61,,,,3.508582353591919
61,61,,,3.508582353591919,
61,61,4.568234920501709,,,
,62,,,,3.4447238445281982
62,62,,,3.4447238445281982,
62,62,4.561906814575195,,,
,63,,,,3.3817083835601807
63,63,,,3.3817083835601807,
63,63,4.290931701660156,,,
,64,,,,3.3187973499298096
64,64,,,3.3187973499298096,
64,64,3.999084711074829,,,
,65,,,,3.2565391063690186
65,65,,,3.2565391063690186,
65,65,4.465596675872803,,,
,66,,,,3.195077657699585
66,66,,,3.195077657699585,
66,66,4.197561264038086,,,
,67,,,,3.134305715560913
67,67,,,3.134305715560913,
67,67,3.8958311080932617,,,
,68,,,,3.074040174484253
68,68,,,3.074040174484253,
68,68,3.523138999938965,,,
,69,,,,3.0141870975494385
69,69,,,3.0141870975494385,
69,69,3.926811933517456,,,
,70,,,,2.953338623046875
70,70,,,2.953338623046875,
70,70,3.7322349548339844,,,
,71,,,,2.8916871547698975
71,71,,,2.8916871547698975,
71,71,4.154068470001221,,,
,72,,,,2.8291404247283936
72,72,,,2.8291404247283936,
72,72,3.8812599182128906,,,
,73,,,,2.7646360397338867
73,73,,,2.7646360397338867,
73,73,4.234201431274414,,,
,74,,,,2.6979706287384033
74,74,,,2.6979706287384033,
74,74,3.456326723098755,,,
,75,,,,2.629589796066284
75,75,,,2.629589796066284,
75,75,3.2665584087371826,,,
,76,,,,2.559154987335205
76,76,,,2.559154987335205,
76,76,3.619488000869751,,,
,77,,,,2.4882428646087646
77,77,,,2.4882428646087646,
77,77,3.76885724067688,,,
,78,,,,2.417588472366333
78,78,,,2.417588472366333,
78,78,3.35721492767334,,,
,79,,,,2.344550132751465
79,79,,,2.344550132751465,
79,79,3.857248306274414,,,
,80,,,,2.2693707942962646
80,80,,,2.2693707942962646,
80,80,3.2393639087677,,,
,81,,,,2.192774772644043
81,81,,,2.192774772644043,
81,81,3.0019168853759766,,,
,82,,,,2.118021249771118
82,82,,,2.118021249771118,
82,82,2.792356491088867,,,
,83,,,,2.0440738201141357
83,83,,,2.0440738201141357,
83,83,3.2852694988250732,,,
,84,,,,1.9722098112106323
84,84,,,1.9722098112106323,
84,84,2.9446659088134766,,,
,85,,,,1.9043636322021484
85,85,,,1.9043636322021484,
85,85,3.5391438007354736,,,
,86,,,,1.8388854265213013
86,86,,,1.8388854265213013,
86,86,2.345557451248169,,,
,87,,,,1.7780307531356812
87,87,,,1.7780307531356812,
87,87,2.5267350673675537,,,
,88,,,,1.718898892402649
88,88,,,1.718898892402649,
88,88,3.7224597930908203,,,
,89,,,,1.6649643182754517
89,89,,,1.6649643182754517,
89,89,2.880856513977051,,,
,90,,,,1.613925576210022
90,90,,,1.613925576210022,
90,90,3.0282840728759766,,,
,91,,,,1.5655757188796997
91,91,,,1.5655757188796997,
91,91,2.4889724254608154,,,
,92,,,,1.5189422369003296
92,92,,,1.5189422369003296,
92,92,2.629140615463257,,,
,93,,,,1.475268006324768
93,93,,,1.475268006324768,
93,93,2.5961759090423584,,,
,94,,,,1.4353433847427368
94,94,,,1.4353433847427368,
94,94,3.181035280227661,,,
,95,,,,1.3953028917312622
95,95,,,1.3953028917312622,
95,95,3.0091190338134766,,,
,96,,,,1.354922890663147
96,96,,,1.354922890663147,
96,96,3.0754544734954834,,,
,97,,,,1.3190280199050903
97,97,,,1.3190280199050903,
97,97,2.358186960220337,,,
,98,,,,1.285685658454895
98,98,,,1.285685658454895,
98,98,2.0245556831359863,,,
99,99,,2.7636518478393555,,
,99,,,,1.253520131111145
99,99,,,1.253520131111145,
99,99,2.7636518478393555,,,
,100,,,,1.223862648010254
100,100,,,1.223862648010254,
100,100,1.8597373962402344,,,
,101,,,,1.1977242231369019
101,101,,,1.1977242231369019,
101,101,2.319591760635376,,,
,102,,,,1.1727180480957031
102,102,,,1.1727180480957031,
102,102,2.0489585399627686,,,
,103,,,,1.149048924446106
103,103,,,1.149048924446106,
103,103,2.1250057220458984,,,
,104,,,,1.1259151697158813
104,104,,,1.1259151697158813,
104,104,2.08410382270813,,,
,105,,,,1.1026121377944946
105,105,,,1.1026121377944946,
105,105,2.51755690574646,,,
,106,,,,1.0799459218978882
106,106,,,1.0799459218978882,
106,106,2.3147289752960205,,,
,107,,,,1.0577619075775146
107,107,,,1.0577619075775146,
107,107,2.391568899154663,,,
,108,,,,1.040037751197815
108,108,,,1.040037751197815,
108,108,1.9750657081604004,,,
,109,,,,1.0232813358306885
109,109,,,1.0232813358306885,
109,109,2.6872622966766357,,,
,110,,,,1.0068376064300537
110,110,,,1.0068376064300537,
110,110,2.156892776489258,,,
,111,,,,0.986541211605072
111,111,,,0.986541211605072,
111,111,2.1756696701049805,,,
,112,,,,0.9667153358459473
112,112,,,0.9667153358459473,
112,112,2.309255361557007,,,
,113,,,,0.9407504200935364
113,113,,,0.9407504200935364,
113,113,2.3965651988983154,,,
,114,,,,0.9151179194450378
114,114,,,0.9151179194450378,
114,114,2.231830358505249,,,
,115,,,,0.8879458904266357
