epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,16.89432716369629
0,0,,,16.89432716369629,
0,0,16.726686477661133,,,
,1,,,,16.04144859313965
1,1,,,16.04144859313965,
1,1,16.576868057250977,,,
,2,,,,15.201579093933105
2,2,,,15.201579093933105,
2,2,16.074045181274414,,,
,3,,,,14.398285865783691
3,3,,,14.398285865783691,
3,3,15.877957344055176,,,
,4,,,,13.623344421386719
4,4,,,13.623344421386719,
4,4,15.031841278076172,,,
,5,,,,12.903793334960938
5,5,,,12.903793334960938,
5,5,14.437451362609863,,,
,6,,,,12.25688648223877
6,6,,,12.25688648223877,
6,6,14.590221405029297,,,
,7,,,,11.664932250976562
7,7,,,11.664932250976562,
7,7,13.337459564208984,,,
,8,,,,11.133605003356934
8,8,,,11.133605003356934,
8,8,13.220061302185059,,,
,9,,,,10.65306568145752
9,9,,,10.65306568145752,
9,9,12.812560081481934,,,
,10,,,,10.221150398254395
10,10,,,10.221150398254395,
10,10,11.949687957763672,,,
,11,,,,9.82723331451416
11,11,,,9.82723331451416,
11,11,11.776021003723145,,,
,12,,,,9.462271690368652
12,12,,,9.462271690368652,
12,12,11.02582836151123,,,
,13,,,,9.12358283996582
13,13,,,9.12358283996582,
13,13,11.156822204589844,,,
,14,,,,8.807465553283691
14,14,,,8.807465553283691,
14,14,11.024323463439941,,,
,15,,,,8.512409210205078
15,15,,,8.512409210205078,
15,15,9.669156074523926,,,
,16,,,,8.234105110168457
16,16,,,8.234105110168457,
16,16,10.244610786437988,,,
,17,,,,7.970975399017334
17,17,,,7.970975399017334,
17,17,9.700596809387207,,,
,18,,,,7.7194342613220215
18,18,,,7.7194342613220215,
18,18,9.329594612121582,,,
,19,,,,7.4803900718688965
19,19,,,7.4803900718688965,
19,19,9.030394554138184,,,
,20,,,,7.251768589019775
20,20,,,7.251768589019775,
20,20,8.321856498718262,,,
,21,,,,7.032342433929443
21,21,,,7.032342433929443,
21,21,9.426156044006348,,,
,22,,,,6.82121467590332
22,22,,,6.82121467590332,
22,22,8.513453483581543,,,
,23,,,,6.617715835571289
23,23,,,6.617715835571289,
23,23,8.59024715423584,,,
,24,,,,6.417688369750977
24,24,,,6.417688369750977,
24,24,7.8545241355896,,,
,25,,,,6.225203037261963
25,25,,,6.225203037261963,
25,25,7.87799072265625,,,
,26,,,,6.039854526519775
26,26,,,6.039854526519775,
26,26,7.946310520172119,,,
,27,,,,5.861793518066406
27,27,,,5.861793518066406,
27,27,7.3595147132873535,,,
,28,,,,5.690207004547119
28,28,,,5.690207004547119,
28,28,7.393039226531982,,,
,29,,,,5.525450229644775
29,29,,,5.525450229644775,
29,29,6.669198513031006,,,
,30,,,,5.367316722869873
30,30,,,5.367316722869873,
30,30,6.564877033233643,,,
,31,,,,5.214842319488525
31,31,,,5.214842319488525,
31,31,6.349964141845703,,,
,32,,,,5.069279193878174
32,32,,,5.069279193878174,
32,32,7.1017165184021,,,
,33,,,,4.9295148849487305
33,33,,,4.9295148849487305,
33,33,6.304975509643555,,,
,34,,,,4.795130252838135
34,34,,,4.795130252838135,
34,34,5.749915599822998,,,
,35,,,,4.664119720458984
35,35,,,4.664119720458984,
35,35,5.872831344604492,,,
,36,,,,4.538476467132568
36,36,,,4.538476467132568,
36,36,5.909421920776367,,,
,37,,,,4.417735576629639
37,37,,,4.417735576629639,
37,37,6.174888610839844,,,
,38,,,,4.302387714385986
38,38,,,4.302387714385986,
38,38,6.2579193115234375,,,
,39,,,,4.19333028793335
39,39,,,4.19333028793335,
39,39,5.8028740882873535,,,
,40,,,,4.089943885803223
40,40,,,4.089943885803223,
40,40,5.264001369476318,,,
,41,,,,3.9904165267944336
41,41,,,3.9904165267944336,
41,41,5.174524307250977,,,
,42,,,,3.895153760910034
42,42,,,3.895153760910034,
42,42,5.529992580413818,,,
,43,,,,3.804028272628784
43,43,,,3.804028272628784,
43,43,5.8003153800964355,,,
,44,,,,3.7173101902008057
44,44,,,3.7173101902008057,
44,44,5.259416580200195,,,
,45,,,,3.635122299194336
45,45,,,3.635122299194336,
45,45,4.6728739738464355,,,
,46,,,,3.556821584701538
46,46,,,3.556821584701538,
46,46,4.844093322753906,,,
,47,,,,3.4819185733795166
47,47,,,3.4819185733795166,
47,47,5.327305316925049,,,
,48,,,,3.40967059135437
48,48,,,3.40967059135437,
48,48,4.945431232452393,,,
49,49,,4.4777750968933105,,
,49,,,,3.3395164012908936
49,49,,,3.3395164012908936,
49,49,4.4777750968933105,,,
,50,,,,3.271326780319214
50,50,,,3.271326780319214,
50,50,4.723012924194336,,,
,51,,,,3.2056872844696045
51,51,,,3.2056872844696045,
51,51,4.702449321746826,,,
,52,,,,3.141538619995117
52,52,,,3.141538619995117,
52,52,4.208986759185791,,,
,53,,,,3.0781495571136475
53,53,,,3.0781495571136475,
53,53,4.845987319946289,,,
,54,,,,3.016752004623413
54,54,,,3.016752004623413,
54,54,4.280209064483643,,,
,55,,,,2.9563167095184326
55,55,,,2.9563167095184326,
55,55,4.073951721191406,,,
,56,,,,2.896869659423828
56,56,,,2.896869659423828,
56,56,3.849881172180176,,,
,57,,,,2.8366057872772217
57,57,,,2.8366057872772217,
57,57,4.096902847290039,,,
,58,,,,2.7764804363250732
58,58,,,2.7764804363250732,
58,58,3.5455048084259033,,,
,59,,,,2.7161855697631836
59,59,,,2.7161855697631836,
59,59,4.092362403869629,,,
,60,,,,2.6564066410064697
60,60,,,2.6564066410064697,
60,60,4.35623836517334,,,
,61,,,,2.5937564373016357
61,61,,,2.5937564373016357,
61,61,4.1114821434021,,,
,62,,,,2.5292246341705322
62,62,,,2.5292246341705322,
62,62,3.7191460132598877,,,
,63,,,,2.463744878768921
63,63,,,2.463744878768921,
63,63,2.8102190494537354,,,
,64,,,,2.396580934524536
64,64,,,2.396580934524536,
64,64,3.9557526111602783,,,
,65,,,,2.328277587890625
65,65,,,2.328277587890625,
65,65,3.0361735820770264,,,
,66,,,,2.258565664291382
66,66,,,2.258565664291382,
66,66,3.017030715942383,,,
,67,,,,2.187420606613159
67,67,,,2.187420606613159,
67,67,3.08182692527771,,,
,68,,,,2.11391282081604
68,68,,,2.11391282081604,
68,68,3.622265577316284,,,
,69,,,,2.0373713970184326
69,69,,,2.0373713970184326,
69,69,3.4706287384033203,,,
,70,,,,1.9621323347091675
70,70,,,1.9621323347091675,
70,70,2.9100472927093506,,,
,71,,,,1.8873761892318726
71,71,,,1.8873761892318726,
71,71,2.42934513092041,,,
,72,,,,1.811566710472107
72,72,,,1.811566710472107,
72,72,3.1061713695526123,,,
,73,,,,1.7366846799850464
73,73,,,1.7366846799850464,
73,73,3.1325607299804688,,,
,74,,,,1.666895866394043
74,74,,,1.666895866394043,
74,74,2.9316437244415283,,,
,75,,,,1.6027625799179077
75,75,,,1.6027625799179077,
75,75,3.07662034034729,,,
,76,,,,1.5449987649917603
76,76,,,1.5449987649917603,
76,76,2.238913059234619,,,
,77,,,,1.4919921159744263
77,77,,,1.4919921159744263,
77,77,2.7338144779205322,,,
,78,,,,1.443632960319519
78,78,,,1.443632960319519,
78,78,2.637842893600464,,,
,79,,,,1.3988929986953735
79,79,,,1.3988929986953735,
79,79,1.9957380294799805,,,
,80,,,,1.35769784450531
80,80,,,1.35769784450531,
80,80,2.6581156253814697,,,
,81,,,,1.3211692571640015
81,81,,,1.3211692571640015,
81,81,2.121188163757324,,,
,82,,,,1.2871252298355103
82,82,,,1.2871252298355103,
82,82,2.866673469543457,,,
,83,,,,1.2555958032608032
83,83,,,1.2555958032608032,
83,83,2.4201691150665283,,,
,84,,,,1.2265887260437012
84,84,,,1.2265887260437012,
84,84,2.6882784366607666,,,
,85,,,,1.1979211568832397
85,85,,,1.1979211568832397,
85,85,3.071904182434082,,,
,86,,,,1.1719340085983276
86,86,,,1.1719340085983276,
86,86,2.8312883377075195,,,
,87,,,,1.1473170518875122
87,87,,,1.1473170518875122,
87,87,2.4008548259735107,,,
,88,,,,1.1260508298873901
88,88,,,1.1260508298873901,
88,88,2.3347222805023193,,,
,89,,,,1.1058502197265625
89,89,,,1.1058502197265625,
89,89,2.1882097721099854,,,
,90,,,,1.0897595882415771
90,90,,,1.0897595882415771,
90,90,2.2344565391540527,,,
,91,,,,1.0774717330932617
91,91,,,1.0774717330932617,
91,91,2.3928496837615967,,,
,92,,,,1.068684458732605
92,92,,,1.068684458732605,
92,92,2.6415669918060303,,,
,93,,,,1.064814567565918
93,93,,,1.064814567565918,
93,93,2.1128413677215576,,,
,94,,,,1.0643444061279297
94,94,,,1.0643444061279297,
94,94,2.6034669876098633,,,
,95,,,,1.0651987791061401
95,95,,,1.0651987791061401,
95,95,1.8507555723190308,,,
,96,,,,1.06399405002594
96,96,,,1.06399405002594,
96,96,2.2365729808807373,,,
,97,,,,1.0606893301010132
97,97,,,1.0606893301010132,
97,97,2.5129711627960205,,,
,98,,,,1.0567467212677002
98,98,,,1.0567467212677002,
98,98,2.3493707180023193,,,
99,99,,1.6765766143798828,,
,99,,,,1.051527738571167
99,99,,,1.051527738571167,
99,99,1.6765766143798828,,,
,100,,,,1.0384271144866943
100,100,,,1.0384271144866943,
100,100,1.899161458015442,,,
,101,,,,1.0198261737823486
101,101,,,1.0198261737823486,
101,101,2.4770126342773438,,,
,102,,,,0.995405375957489
102,102,,,0.995405375957489,
102,102,2.4535293579101562,,,
,103,,,,0.9700778126716614
103,103,,,0.9700778126716614,
103,103,1.9982038736343384,,,
,104,,,,0.9468401074409485
104,104,,,0.9468401074409485,
104,104,2.0734684467315674,,,
,105,,,,0.9264242053031921
105,105,,,0.9264242053031921,
105,105,2.554699420928955,,,
,106,,,,0.9044113159179688
106,106,,,0.9044113159179688,
106,106,2.101161241531372,,,
,107,,,,0.8823563456535339
107,107,,,0.8823563456535339,
107,107,2.2145767211914062,,,
,108,,,,0.8578844666481018
108,108,,,0.8578844666481018,
108,108,1.9853034019470215,,,
,109,,,,0.8344698548316956
109,109,,,0.8344698548316956,
109,109,2.2515926361083984,,,
,110,,,,0.8149673938751221
110,110,,,0.8149673938751221,
110,110,2.347064256668091,,,
,111,,,,0.7996921539306641
111,111,,,0.7996921539306641,
111,111,1.6666265726089478,,,
,112,,,,0.785193145275116
112,112,,,0.785193145275116,
112,112,2.027679681777954,,,
,113,,,,0.7730982303619385
113,113,,,0.7730982303619385,
113,113,1.9722285270690918,,,
,114,,,,0.761038064956665
114,114,,,0.761038064956665,
114,114,2.0638575553894043,,,
,115,,,,0.7506789565086365
115,115,,,0.7506789565086365,
115,115,2.07201886177063,,,
,116,,,,0.7411951422691345
116,116,,,0.7411951422691345,
116,116,1.5172687768936157,,,
,117,,,,0.7335200905799866
117,117,,,0.7335200905799866,
117,117,1.9742921590805054,,,
,118,,,,0.7260026931762695
118,118,,,0.7260026931762695,
118,118,2.4773964881896973,,,
,119,,,,0.7201886773109436
119,119,,,0.7201886773109436,
119,119,2.0665132999420166,,,
,120,,,,0.7142348885536194
120,120,,,0.7142348885536194,
120,120,1.8984870910644531,,,
,121,,,,0.7082729339599609
121,121,,,0.7082729339599609,
